案件NO,媒体,受信日,顧客名,TEL番号,車名,入札,入札結果,,①TEL結果,②TEL結果,②日付,③TEL結果,③日付,④TEL結果,④日付,⑤TEL結果,⑤日付,査定,結果,次回後追日,担当者,備考,顧客希望額,査定提示額,成約額,住所,メール,年式,走行距離,,通話メモ,回答,⑥結果,⑥日付
8,カーセンサー,2026/04/02,サンプル01,090-0000-0001,マスタング,,,,不通,着信拒,4/9,着信拒,5/5,着信拒,5/6,着信拒,5/8,,他社売却,,前田,（メモはサンプル用に伏せています）,,,,,,,,,,,,
9,カーセンサー,2026/04/02,サンプル02,090-0000-0002,ジムニーノマド,,,（メモはサンプル用に伏せています）,通話,,,,,,,,,,他社売却,,前田,,,,,,,,,,,,,
10,MOTA,2026/04/03,サンプル03,090-0000-0003,ノマド,〇,権利獲得,（メモはサンプル用に伏せています）,通話,,,,,,,,,,他社売却,,前田,,,,,,,,,,,,,
17,MOTA,2026/04/04,サンプル04,090-0000-0004,XV,〇,権利獲得,（メモはサンプル用に伏せています）,不通,不通,5/3,通話,5/5,,,,,〇,成約,,前田,（メモはサンプル用に伏せています）,"1,800,000円","1,750,000円","1,750,000円",,,,,,,,,
26,MOTA,2026/04/05,サンプル05,090-0000-0005,アイシス,〇,権利獲得,（メモはサンプル用に伏せています）,アポ確定,,,,,,,,,〇,成約,,前田,,,,,,,,,,,,,
39,カーセンサー,2026/04/07,サンプル06,090-0000-0006,アクア,,,（メモはサンプル用に伏せています）,不通,不通,4/19,不通,4/27,通話,5/5,,,,他社売却,,前田,,,,,,,,,,,,,
47,MOTA,2026/04/09,サンプル07,090-0000-0007,アルファード,〇,権利獲得,（メモはサンプル用に伏せています）,不通,不通,5/5,不通,5/6,不通,5/8,不通,5/9,,他社売却,,前田,,,,,,,,,,,,,
63,MOTA,2026/04/13,サンプル08,090-0000-0008,アクセラスポーツ,〇,権利獲得,,アポ,,,,,,,,,〇,他社売却,,高木,,,,,,,,,,,,,
83,MOTA,2026/04/18,サンプル09,090-0000-0009,フォレスター,〇,権利獲得,（メモはサンプル用に伏せています）,アポ,通話,,,,,,,,〇,成約,,前田,,,,,,,,,,,,,
104,MOTA,2026/04/23,サンプル10,090-0000-0010,アテンザワゴン,〇,権利獲得,（メモはサンプル用に伏せています）,不通,不通,4/24,不通,4/25,通話,,,,,他社売却,,前田,,,,,,,,,,,,,
117,カーセンサー,2026/04/26,サンプル11,090-0000-0011,タント,,,（メモはサンプル用に伏せています）,不通SMS,通話,4/27,,,,,,,〇,売らない,,金木,（メモはサンプル用に伏せています）,,,,,,,,,,,,
124,MOTA,2026/05/01,サンプル12,090-0000-0012,N-BOX,〇,権利獲得,（メモはサンプル用に伏せています）,不通,不通,5/3,不通SMS,5/6,不通SMS,5/8,不通SMS,5/9,,売らない,,前田,,,,,,,,,,,,,
132,カーセンサー,2026/05/04,サンプル13,090-0000-0013,エクストレイル,,,（メモはサンプル用に伏せています）,通話,通話,5/15,,,,,,,〇,他社売却,,前田,,,,,,,,,,,,,
144,MOTA,2026/05/07,サンプル14,090-0000-0014,ゼスト,〇,権利獲得,（メモはサンプル用に伏せています）,通話,,,,,,,,,,他社売却,,前田,,,,,,,,,,,,,
155,カーセンサー,2026/05/09,サンプル15,090-0000-0015,ハイゼットカーゴ,,,（メモはサンプル用に伏せています）,アポ,通話,5/9,,,,,,,,他社売却,,前田,（メモはサンプル用に伏せています）,,,,,,,,,,,,
184,MOTA,2026/05/10,サンプル16,090-0000-0016,トヨタアルファード2.5 S,〇,権利獲得,,アポ,,,,,,,,,〇,成約,,前田,,査定番号:2298168 / 型式:DBA-AGH30W / 車台:－ / 修復歴:なし,,,,sample1@example.com,sample2@example.com,2019(令和1)年式,～4万キロ,,,,
